model,category,f1_score
Few-shot,부당해고,0.75
Few-shot,부당징계,1.0
Few-shot,근로계약,0.4
Few-shot,근무조건,0.7142857142857143
Few-shot,직장내성희롱,1.0
Few-shot,직장내괴롭힘,1.0
Few-shot,직장내차별,0.8888888888888888
Few-shot,임금/퇴직금,0.9473684210526315
Few-shot,산업재해,1.0
Few-shot,노동조합,1.0
Few-shot,기업자문,0.6
Few-shot,컨설팅,0.75
Few-shot,급여아웃소싱,0.9090909090909091
Zero-shot,부당해고,0.4444444444444444
Zero-shot,부당징계,0.8
Zero-shot,근로계약,0.3
Zero-shot,근무조건,0.6666666666666666
Zero-shot,직장내성희롱,0.8888888888888888
Zero-shot,직장내괴롭힘,0.9090909090909091
Zero-shot,직장내차별,0.16666666666666666
Zero-shot,임금/퇴직금,0.9
Zero-shot,산업재해,1.0
Zero-shot,노동조합,0.8888888888888888
Zero-shot,기업자문,0.2
Zero-shot,컨설팅,0.0
Zero-shot,급여아웃소싱,1.0
