model,category,f1_score
Few-shot,부당해고,0.6666666666666666
Few-shot,부당징계,0.8333333333333334
Few-shot,근로계약,0.375
Few-shot,근무조건,0.5263157894736842
Few-shot,직장내성희롱,0.8571428571428571
Few-shot,직장내괴롭힘,0.8333333333333334
Few-shot,직장내차별,0.3076923076923077
Few-shot,임금/퇴직금,0.9473684210526315
Few-shot,산업재해,1.0
Few-shot,노동조합,0.9473684210526315
Few-shot,기업자문,0.2222222222222222
Few-shot,컨설팅,0.3333333333333333
Few-shot,급여아웃소싱,0.8888888888888888

Zero-shot,부당해고,0.75
Zero-shot,부당징계,0.9090909090909091
Zero-shot,근로계약,0.4
Zero-shot,근무조건,0.5555555555555556
Zero-shot,직장내성희롱,1.0
Zero-shot,직장내괴롭힘,0.8571428571428571
Zero-shot,직장내차별,0.18181818181818182
Zero-shot,임금/퇴직금,0.8571428571428571
Zero-shot,산업재해,1.0
Zero-shot,노동조합,0.9473684210526315
Zero-shot,기업자문,0.2222222222222222
Zero-shot,컨설팅,0.0
Zero-shot,급여아웃소싱,0.8
