model,category,f1_score
Few-shot,부당해고,0.8
Few-shot,부당징계,0.9090909090909091
Few-shot,근로계약,0.6666666666666666
Few-shot,근무조건,0.5555555555555556
Few-shot,직장내성희롱,1.0
Few-shot,직장내괴롭힘,1.0
Few-shot,직장내차별,0.75
Few-shot,임금/퇴직금,0.8888888888888888
Few-shot,산업재해,1.0
Few-shot,노동조합,0.9473684210526315
Few-shot,기업자문,0.8
Few-shot,컨설팅,0.8888888888888888
Few-shot,급여아웃소싱,1.0

Zero-shot,부당해고,0.6666666666666666
Zero-shot,부당징계,0.8
Zero-shot,근로계약,0.3333333333333333
Zero-shot,근무조건,0.5
Zero-shot,직장내성희롱,1.0
Zero-shot,직장내괴롭힘,0.8571428571428571
Zero-shot,직장내차별,0.16666666666666666
Zero-shot,임금/퇴직금,0.8571428571428571
Zero-shot,산업재해,1.0
Zero-shot,노동조합,0.8235294117647058
Zero-shot,기업자문,0.2222222222222222
Zero-shot,컨설팅,0.0
Zero-shot,급여아웃소싱,0.8
