model,category,f1_score
Few-shot,부당해고,0.2222222222222222
Few-shot,부당징계,0.9090909090909091
Few-shot,근로계약,0.34782608695652173
Few-shot,근무조건,0.7692307692307693
Few-shot,직장내성희롱,0.8888888888888888
Few-shot,직장내괴롭힘,0.6666666666666666
Few-shot,직장내차별,0.42857142857142855
Few-shot,임금/퇴직금,0.8571428571428571
Few-shot,산업재해,1.0
Few-shot,노동조합,0.8421052631578947
Few-shot,기업자문,0.2857142857142857
Few-shot,컨설팅,0.8888888888888888
Few-shot,급여아웃소싱,0.8235294117647058
Zero-shot,부당해고,0.4
Zero-shot,부당징계,0.6
Zero-shot,근로계약,0.3333333333333333
Zero-shot,근무조건,0.5882352941176471
Zero-shot,직장내성희롱,0.8888888888888888
Zero-shot,직장내괴롭힘,0.7692307692307693
Zero-shot,직장내차별,0.18181818181818182
Zero-shot,임금/퇴직금,0.9090909090909091
Zero-shot,산업재해,1.0
Zero-shot,노동조합,0.7368421052631579
Zero-shot,기업자문,0.2222222222222222
Zero-shot,컨설팅,0.0
Zero-shot,급여아웃소싱,0.7272727272727273
